OTU_ID	E2	F2	G2	B1	D1	E1	G1	A2	C2	D2	E4	F4	G4	A3	C3	E3	G3	A4	C4	D4	E6	F7	B6	C6	D6	H4	B5	C5	D5	F5	H5	A6	A8	C8	F6	H6	B7	C7	E7	G7	Silva_tax	evalue_S	Greengenes_tax	evalue_G
OTU_2	446	274	688	298	347	538	293	76	907	829	350	395	469	343	282	792	1691	1589	891	955	136	339	190	261	242	468	3388	1955	1955	1624	1027	401	246	165	293	625	1138	302	807	515	"Bacteria; __Actinobacteria; __Actinobacteria; __Frankiales; __Sporichthyaceae; __hgcI_clade"	1.00E-132	"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__ACK-M1; g__; s__"	3.00E-133
OTU_1	618	432	1655	865	856	742	521	161	947	999	446	356	510	491	1152	1134	478	1254	807	743	49	167	391	335	279	430	3478	2072	529	1283	901	439	155	102	58	123	358	133	601	238	"Bacteria; __Actinobacteria; __Actinobacteria; __Frankiales; __Sporichthyaceae; __hgcI_clade"	1.00E-132	"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__ACK-M1; g__; s__"	7.00E-131
OTU_3	386	528	1043	269	233	148	22	19	269	829	1014	990	872	557	342	192	450	606	671	1691	125	160	667	494	568	618	840	374	483	322	215	260	280	233	198	363	911	1024	493	279	"Bacteria; __Proteobacteria; __Betaproteobacteria; __Burkholderiales; __Comamonadaceae; __Limnohabitans"	1.00E-132	"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__"	3.00E-133
OTU_99	239	294	741	536	358	268	44	43	394	527	260	175	229	981	359	251	355	529	508	723	73	110	113	97	168	797	1205	527	430	284	290	191	122	54	222	371	448	491	368	194	"Bacteria; __Proteobacteria; __Betaproteobacteria; __Burkholderiales; __Comamonadaceae; __Limnohabitans"	1.00E-128	"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Limnohabitans; s__"	4.00E-129
OTU_4	204	125	470	73	251	579	196	69	1503	1280	141	117	169	26	272	558	686	409	450	353	166	44	96	144	108	20	184	429	687	1020	641	171	33	14	208	382	200	49	183	93	"Bacteria; __Actinobacteria; __Actinobacteria; __Frankiales; __Sporichthyaceae; __hgcI_clade"	1.00E-132	"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__ACK-M1; g__; s__"	7.00E-131
OTU_5	584	1315	1641	813	13	242	93	28	429	247	271	354	624	876	281	131	287	82	12	6	3	57	881	373	411	25	237	486	269	270	21	69	251	153	184	16	123	16	46	94	"Bacteria; __Bacteroidetes; __Flavobacteria; __Flavobacteriales; __Flavobacteriaceae; __Flavobacterium"	1.00E-132	"k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__"	3.00E-133
OTU_658	84	33	344	86	93	54	23	8	76	97	75	82	122	33	43	204	18	488	316	184	299	478	52	65	70	30	60	33	17	48	38	62	414	243	267	519	740	210	1050	901	"Bacteria; __Actinobacteria; __Actinobacteria; __Frankiales; __Sporichthyaceae; __hgcI_clade"	4.00E-126	"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__ACK-M1; g__; s__"	1.00E-126
OTU_31	270	912	442	555	271	165	62	26	388	623	357	439	675	133	299	80	93	84	94	474	17	24	52	27	46	112	64	30	86	109	53	44	43	23	31	41	23	19	44	50	"Bacteria; __Proteobacteria; __Betaproteobacteria; __Burkholderiales; __Comamonadaceae; __Limnohabitans"	1.00E-132	"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__"	7.00E-131
OTU_6	112	66	265	8	9	36	0	0	225	312	105	163	294	10	43	171	956	377	165	84	45	11	11	17	25	16	51	1752	898	415	206	27	141	100	10	0	9	50	39	47	"Bacteria; __Bacteroidetes; __Sphingobacteriia; __Sphingobacteriales; __Chitinophagaceae; __Sediminibacterium"	1.00E-132	"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Sediminibacterium; s__"	3.00E-133
OTU_630	184	276	200	217	109	123	37	10	104	196	609	348	318	129	165	73	186	435	343	618	21	41	133	68	198	94	190	161	236	240	68	88	48	27	141	588	45	53	63	70	"Bacteria; __Proteobacteria; __Betaproteobacteria; __Burkholderiales; __Comamonadaceae; __g"	9.00E-127	"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Comamonas; s__"	3.00E-127
