sample_ID;samples_available;date;env;fecha;month;h;sampling; sample_v;Anos_total;Ostr_total;anos_L;ostr_L;salinity;cond;temp;pH;redox;od;chla;doy;doy_acc;season;season_det
2;both;12/11/2012;2_Pinol;12/11/2012;nov-12;13;1;5;191;1;38;0;1.2;16;13.5;8.6;315;11.3;5.4;317;317;autumn;autumn
4;both;12/11/2012;7_Rebollon;12/11/2012;nov-12;5;1;5;587;0;117;0;1;7.8;14.3;8.2;340;10.4;1.3;317;317;autumn;autumn
5;both;12/11/2012;6_Rollico;12/11/2012;nov-12;10;1;6;400;1;67;0;1.1;11.6;12.5;8.6;345;10.5;1.7;317;317;autumn;autumn
7;both;13/11/2012;z13_Salobral;13/11/2012;nov-12;20;1;3;0;0;0;0;3.3;31.7;5.9;9;341;9.4;2.9;318;318;autumn;autumn
8;both;13/11/2012;z12_Amarga_baja;13/11/2012;nov-12;5;1;5;6;0;1;0;0.9;4.6;6.3;8.2;339;12;1.2;318;318;autumn;autumn
9;both;13/11/2012;z11_Amarga_alta;13/11/2012;nov-12;10;1;5;36;7;7;1;1;4.7;8.6;7.9;326;11.8;0.5;318;318;autumn;autumn
10;both;13/11/2012;8_Pito;13/11/2012;nov-12;15;1;5;4;1;1;0;1.5;18.3;13.9;7.8;330;11.7;6.2;318;318;autumn;autumn
11;both;13/11/2012;4_Camaron;13/11/2012;nov-12;40;1;5;0;0;0;0;1.2;14.2;11.7;8.3;305;12.2;0.5;318;318;autumn;autumn
12;both;13/11/2012;z10_Playa;13/11/2012;nov-12;10;1;1;0;0;0;0;2.1;26.3;14.4;8.8;306;12;1.2;318;318;autumn;autumn
13;both;13/11/2012;9_Salineta;13/11/2012;nov-12;13;1;1;0;0;0;0;6.9;66.3;13.1;9.2;278;10.6;79.8;318;318;autumn;autumn
14;both;04/12/2012;1_Guallar;04/12/2012;dic-12;10;2;5;8;0;2;0;4;40;10.5;8.1;350;10.6;3.7;339;339;autumn;late-autumn
15;both;04/12/2012;2_Pinol;04/12/2012;dic-12;10;2;5;41;0;8;0;2;21.6;12;8.3;305;10.6;8.4;339;339;autumn;late-autumn
17;both;04/12/2012;3_Muerte;04/12/2012;dic-12;2;2;3;0;0;0;0;3.4;37.8;12;8.1;312;10.3;5.2;339;339;autumn;late-autumn
18;both;04/12/2012;6_Rollico;04/12/2012;dic-12;10;2;3;0;0;0;0;2;20.4;10;8.1;318;10.3;6.7;339;339;autumn;late-autumn
