samples_available	date	env	fecha	month	h	sampling	sample_v	Anos_total	Ostr_total	anos_L	ostr_L	salinity	salinity_q	cond	temp	temp_q	pH	redox	od	chla	doy	doy_acc	doy_acc_mod	season	season_det	sampling_trip	coord
MON_10	both	13/11/12	8_Pito	13/11/12	nov-12	15	1	5	4	1	1	0	1.5	3_brackish	18.3	13.9	mild	7.8	330	11.7	6.2	318	318	317	autumn	autumn	1	41.412818 N -0.153057 W
MON_100	both	28/11/13	z10_Playa	28/11/13	nov-13	40	12	5	0	0	0	0	5	4_marine	58.1	4	freezing-cold	8	280	11.7	0.8	332	698	697	autumn	autumn	11	41.419234 N -0.188864 W
MON_101	both	28/11/13	9_Salineta	28/11/13	nov-13	10	12	5	0	0	0	0	7.5	5_hypersaline	67.5	7.4	cold	NA	315	11.6	3.7	332	698	697	autumn	autumn	11	41.484360 N -0.160008 W
MON_104	both	17/12/13	2_Pinol	17/12/13	dic-13	10	13	5	78	0	16	0	2.5	3_brackish	29.7	9	cold	8.9	245	13.9	5.6	351	717	718	autumn	late-autumn	12	41.410267 N -0.256041 W
MON_106	both	17/12/13	4_Camaron	17/12/13	dic-13	5	13	14	2213	0	158	0	3.1	4_marine	38.5	9.1	cold	8.6	235	14.1	1	351	717	718	autumn	late-autumn	12	41.403479 N -0.284693 W
MON_107	both	18/12/13	6_Rollico	18/12/13	dic-13	5	13	5	225	0	45	0	1	2_slightly-brackish	13.3	11.3	cold	8.8	230	11.5	2.8	352	718	718	autumn	late-autumn	12	41.390249 N -0.295673 W
MON_108	only_16S	18/12/13	7_Rebollon	18/12/13	dic-13	3	13	5	23	0	5	0	1.1	2_slightly-brackish	12.4	10	cold	9.1	242	12.6	27.1	352	718	718	autumn	late-autumn	12	41.377488 N -0.304309 W
MON_109	both	18/12/13	5_Pez	18/12/13	dic-13	2	13	5	49	3	10	1	1.9	3_brackish	19.8	8.6	cold	9	250	11.7	9.4	352	718	718	autumn	late-autumn	12	41.378293 N -0.261327 W
MON_11	both	13/11/12	4_Camaron	13/11/12	nov-12	40	1	5	0	0	0	0	1.2	2_slightly-brackish	14.2	11.7	cold	8.3	305	12.2	0.5	318	318	317	autumn	autumn	1	41.403479 N -0.284693 W
MON_110	both	19/12/13	z12_Amarga_baja	19/12/13	dic-13	3	13	5	100	0	20	0	0.9	2_slightly-brackish	6.4	7.9	cold	8.3	270	10.5	11.4	353	719	718	autumn	late-autumn	12	41.404935 N -0.028002 W
MON_111	only_16S	19/12/13	z11_Amarga_alta	19/12/13	dic-13	5	13	5	44	0	9	0	0.9	2_slightly-brackish	5.3	7.5	cold	8.2	275	10.9	6.8	353	719	718	autumn	late-autumn	12	41.396091 N -0.057746 W
MON_112	only_16S	19/12/13	8_Pito	19/12/13	dic-13	5	13	5	223	52	45	10	1.7	3_brackish	20	6.7	freezing-cold	8.3	275	11.6	1.4	353	719	718	autumn	late-autumn	12	41.412818 N -0.153057 W
MON_113	both	18/12/13	z10_Playa	18/12/13	dic-13	25	13	2	227	0	114	0	6	5_hypersaline	78.3	8.5	cold	8.4	144	12	8	352	718	718	autumn	late-autumn	12	41.419234 N -0.188864 W
MON_114	both	18/12/13	9_Salineta	18/12/13	dic-13	10	13	5	0	0	0	0	9	5_hypersaline	85.6	11	cold	8.4	245	15.7	54.7	352	718	718	autumn	late-autumn	12	41.484360 N -0.160008 W
MON_116	both	22/1/14	1_Guallar	22/1/14	ene-14	6	14	6	0	0	0	0	5.8	5_hypersaline	67.4	8.5	cold	8.4	265	11.6	1.7	22	753	754	winter	winter	13	41.411798 N -0.227378 W
MON_117	only_16S	22/1/14	2_Pinol	22/1/14	ene-14	10	14	5	0	0	0	0	4.1	4_marine	49	9	cold	8.3	272	11.8	5.4	22	753	754	winter	winter	13	41.410267 N -0.256041 W
MON_118	both	22/1/14	3_Muerte	22/1/14	ene-14	3	14	5	0	0	0	0	5.9	5_hypersaline	71.1	9.7	cold	8.3	275	11.3	2.9	22	753	754	winter	winter	13	41.400761 N -0.261687 W
MON_119	both	22/1/14	4_Camaron	22/1/14	ene-14	3	14	8	18	1000	2	125	4.6	4_marine	59.2	11.4	cold	8.3	270	10.8	4.3	22	753	754	winter	winter	13	41.403479 N -0.284693 W
MON_12	both	13/11/12	z10_Playa	13/11/12	nov-12	10	1	1	0	0	0	0	2.1	3_brackish	26.3	14.4	mild	8.8	306	12	1.2	318	318	317	autumn	autumn	1	41.419234 N -0.188864 W
MON_120	both	23/1/14	6_Rollico	23/1/14	ene-14	6	14	5	815	410	163	82	2.1	3_brackish	28.7	11.3	cold	8	290	10.6	10.6	23	754	754	winter	winter	13	41.390249 N -0.295673 W
MON_122	both	23/1/14	5_Pez	23/1/14	ene-14	6	14	5	5	110	1	22	2.9	4_marine	35	11.5	cold	8	300	10.5	4.3	23	754	754	winter	winter	13	41.378293 N -0.261327 W
MON_123	both	23/1/14	z12_Amarga_baja	23/1/14	ene-14	2	14	5	0	0	0	0	1.1	2_slightly-brackish	10.3	8	cold	8	244	11.6	1.4	23	754	754	winter	winter	13	41.404935 N -0.028002 W
MON_124	both	23/1/14	z11_Amarga_alta	23/1/14	ene-14	8	14	5	0	0	0	0	1	2_slightly-brackish	8.7	8.5	cold	8	248	11.8	0.9	23	754	754	winter	winter	13	41.396091 N -0.057746 W
MON_125	both	23/1/14	8_Pito	23/1/14	ene-14	8	14	5	40	586	8	117	2.8	3_brackish	34.5	11.2	cold	8	304	10.8	2.7	23	754	754	winter	winter	13	41.412818 N -0.153057 W
MON_126	both	22/1/14	z10_Playa	22/1/14	ene-14	30	14	5	0	0	0	0	6.6	5_hypersaline	86.4	10.8	cold	8.6	285	11.5	6	22	753	754	winter	winter	13	41.419234 N -0.188864 W
MON_127	both	23/1/14	9_Salineta	23/1/14	ene-14	15	14	5	0	0	0	0	11.2	5_hypersaline	105.2	12.2	cold	8.8	278	11.1	201.5	23	754	754	winter	winter	13	41.484360 N -0.160008 W
MON_128	both	22/1/14	z14_Balsa_Molinos	22/1/14	ene-14	40	14	5	0	0	0	0	0.3	1_freshwater	0.7	8	cold	9.1	240	12.1	9.7	22	753	754	winter	winter	13	41.494618 N -0.150945 W
MON_129	both	14/3/14	4_Camaron	14/3/14	mar-14	1	15	5	0	0	0	0	15.4	6_highly-hypersaline	164.7	10	cold	8	242	9.7	46	73	804	804	winter	late-winter	14	41.403479 N -0.284693 W
MON_13	both	13/11/12	9_Salineta	13/11/12	nov-12	13	1	1	0	0	0	0	6.9	5_hypersaline	66.3	13.1	mild	9.2	278	10.6	79.8	318	318	317	autumn	autumn	1	41.484360 N -0.160008 W
MON_130	both	14/3/14	z10_Playa	14/3/14	mar-14	25	15	5	0	0	0	0	11.5	5_hypersaline	134.9	10	cold	8.4	215	9.9	29.6	73	804	804	winter	late-winter	14	41.419234 N -0.188864 W
MON_131	both	14/3/14	9_Salineta	14/3/14	mar-14	10	15	5	0	0	0	0	24.2	6_highly-hypersaline	167.9	10	cold	8	235	10.7	95.5	73	804	804	winter	late-winter	14	41.484360 N -0.160008 W
MON_133	both	30/4/14	z10_Playa	30/4/14	abr-14	20	16	5	0	0	0	0	21	6_highly-hypersaline	194.5	25	hot	8	215	10.1	23.6	120	851	851	spring	spring	15	41.419234 N -0.188864 W
MON_134	both	30/4/14	9_Salineta	30/4/14	abr-14	1	16	2	0	0	0	0	37	6_highly-hypersaline	129.3	24	hot	7.8	235	7.8	87.3	120	851	851	spring	spring	15	41.484360 N -0.160008 W
MON_136	both	22/12/14	1_Guallar	22/4/14	dic-14	10	17	5	1	0	0.2	0	3.95	4_marine	42	7.9	cold	8.35	145.5	10.65	2.5	356	1087	1087	winter	early-winter	16	41.411798 N -0.227378 W
MON_137	both	22/12/14	2_Pinol	22/4/14	dic-14	8	17	5	55	0	0	0	2.9	4_marine	31.4	8.1	cold	8.39	187.1	11.9	2.3	356	1087	1087	winter	early-winter	16	41.410267 N -0.256041 W
MON_138	both	22/12/14	3_Muerte	22/4/14	dic-14	6	17	5	0	0	0	0	4	4_marine	44.8	8.4	cold	8.61	224	12.8	1.5	356	1087	1087	winter	early-winter	16	41.400761 N -0.261687 W
MON_139	both	22/12/14	4_Camaron	22/4/14	dic-14	10	17	5	0	0	0	0	4.3	4_marine	51.3	8.5	cold	8.26	262	11.6	2.1	356	1087	1087	winter	early-winter	16	41.403479 N -0.284693 W
MON_14	both	4/12/12	1_Guallar	4/12/12	dic-12	10	2	5	8	0	2	0	4	4_marine	40	10.5	cold	8.1	350	10.6	3.7	339	339	339	autumn	late-autumn	2	41.411798 N -0.227378 W
MON_140	both	22/12/14	6_Rollico	22/4/14	dic-14	4	17	5	66	0	13.2	0	1.8	3_brackish	18.36	8.7	cold	8.28	261	12.8	1	356	1087	1087	winter	early-winter	16	41.390249 N -0.295673 W
MON_141	both	22/12/14	7_Rebollon	22/4/14	dic-14	3	17	5	521	0	104.2	0	1.5	3_brackish	14.57	8.9	cold	8.8	225	14.3	1.6	356	1087	1087	winter	early-winter	16	41.377488 N -0.304309 W
MON_142	both	22/12/14	5_Pez	22/4/14	dic-14	5	17	5	90	0	18	0	1.6	3_brackish	17.68	8.1	cold	8.42	279	13.1	3.2	356	1087	1087	winter	early-winter	16	41.378293 N -0.261327 W
MON_144	both	23/12/14	9_Salineta	23/4/14	dic-14	20	17	5	0	0	0	0	8.8	5_hypersaline	80.8	6	freezing-cold	8.95	270	13	55.7	357	1088	1087	winter	early-winter	16	41.484360 N -0.160008 W
MON_145	both	23/12/14	z10_Playa	23/4/14	dic-14	40	17	5	0	0	0	0	4.9	4_marine	55.6	6	freezing-cold	8.71	295	11.78	5.2	357	1088	1087	winter	early-winter	16	41.419234 N -0.188864 W
MON_146	both	23/12/14	8_Pito	23/4/14	dic-14	15	17	5	6	0	1.2	0	2.8	3_brackish	30.7	6.1	freezing-cold	8.21	335	11.75	1.5	357	1088	1087	winter	early-winter	16	41.412818 N -0.153057 W
MON_147	both	23/12/14	z12_Amarga_baja	23/4/14	dic-14	3	17	5	5	0	1	0	0.9	2_slightly-brackish	5.95	7.2	cold	8.34	296	13.1	1.9	357	1088	1087	winter	early-winter	16	41.404935 N -0.028002 W
MON_148	both	23/12/14	z11_Amarga_alta	23/4/14	dic-14	25	17	8	52	1	6.5	0.13	1	2_slightly-brackish	6.95	6.3	freezing-cold	8.25	299	11.06	1.2	357	1088	1087	winter	early-winter	16	41.396091 N -0.057746 W
MON_15	both	4/12/12	2_Pinol	4/12/12	dic-12	10	2	5	41	0	8	0	2	3_brackish	21.6	12	cold	8.3	305	10.6	8.4	339	339	339	autumn	late-autumn	2	41.410267 N -0.256041 W
