MON_100	MON_101	MON_104	MON_106	MON_107	MON_108	MON_109	MON_10	MON_110	MON_111	MON_112	MON_113	MON_114	MON_116	MON_117	MON_118	MON_119	MON_11	MON_120	MON_122	MON_123	MON_124	MON_125	MON_126	MON_127	MON_128	MON_129	MON_12	MON_130	MON_131	MON_133	MON_134	MON_136	MON_137	MON_138	MON_139	MON_13	MON_140	MON_141	MON_142	MON_144	MON_145	MON_146	MON_147	MON_148	MON_14	MON_15	MON_17	MON_18	MON_19	MON_20	MON_21	MON_22	MON_23	MON_24	MON_25	MON_26	MON_27	MON_28	MON_29	MON_2	MON_30	MON_31	MON_32	MON_33	MON_34	MON_35	MON_36	MON_37	MON_38	MON_39	MON_40	MON_41	MON_42	MON_43	MON_44	MON_45	MON_46	MON_47	MON_48	MON_4	MON_50	MON_51	MON_52	MON_53	MON_54	MON_55	MON_56	MON_57	MON_58	MON_59	MON_5	MON_60	MON_61	MON_62	MON_63	MON_64	MON_65	MON_66	MON_67	MON_68	MON_69	MON_70	MON_71	MON_72	MON_73	MON_74	MON_75	MON_76	MON_77	MON_78	MON_79	MON_7	MON_80	MON_81	MON_83	MON_84	MON_85	MON_88	MON_8	MON_90	MON_91	MON_92	MON_93	MON_94	MON_95	MON_96	MON_97	MON_98	MON_99	MON_9
ZOTU_1	143	404	41	882	31	2	4	1	32	4	3555	111	576	9135	5179	2197	4894	615	10071	5389	18	71	2565	3980	529	178	145	2521	700	80	26	9	41	17	319	237	27	5446	3	493	10	83	5014	0	3	14477	1732	6472	18	165	39	8	1	12	90	100	8	14073	9258	5	21	604	7914	14592	16869	11	10	11345	635	1734	7	4463	5221	282	8	1949	4616	916	768	623	1	442	7012	18	3962	4	3	1694	99	89	5	1	1525	2019	2525	1472	3960	1922	765	26	2	578	37	103	3524	1922	59	89	5	7	194	14	0	382	2	1	18	1	0	3	3645	231	6171	6254	1093	50	203	0	22	1100	2
ZOTU_3	971	95	2110	137	4279	1393	2314	16584	145	648	7054	99	235	101	594	44	291	5559	7173	1795	16	9	6335	78	32	12	15	6602	20	13	7	2	249	574	4102	26	27	6824	97	799	68	12	119	105	15	2104	1535	693	3068	5173	6646	16	4	1013	1403	168	8	4746	4215	81	5912	86	3970	965	3862	19	20	5578	424	22	8	50	63	30	248	2038	924	1022	39	1404	4898	345	945	92	223	31	54	2532	19	9	0	7838	100	822	91	558	100	281	7	3	29	82	1	5	222	313	99	33	192	0	71	3	93	27	41	2	0	261	0	8	3759	4889	729	1597	2293	1946	3214	63	1007	4761	134
ZOTU_4	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	1	10	0	0	9	1129	7086	8	492	1	0	0	3	1245	3	0	0	0	0	1528	1	1	1	1	2	0	0	0	0	2	2	56	1721	25	2243	36	0	46	0	1	1	0	1	1	3	1	4145	10194	1215	3020	2890	267	1308	7	2	0	2587	1635	0	5	0	0	3	0	0	230	1604	3126	293	1	5417	8795	2459	2056	3753	5051	5588	4190	529	3241	4898	875	3864	368	1953	148	31	6	190	2304	1071	338	17	1744	0	151	1	3	0	2	0	1	0	0	0	0	0	1	0
ZOTU_5	1412	103	4250	2024	72	65	3120	1	19	111	16	650	6444	2734	1824	7456	1088	4	13	79	13	167	19	5149	635	270	33	2826	184	39	13	16	55	1179	3704	1070	8731	119	1	1612	143	49	2300	66	269	610	0	275	0	4	10	4	15	82	1921	1982	4	4022	3	18	2	0	1	4	1	0	25	2	3362	173	90	50	3444	514	87	12	3	3	42	576	2	6	24	1	1589	5727	3559	40	684	56	93	2	71	2126	387	852	9272	2433	255	20	8	43	39	1169	4010	286	5422	138	33	3	276	16	44	426	15	3	4	44	0	0	73	373	58	667	30	3	38	1	1	1	49
ZOTU_6	313	10	270	1687	3286	95	101	3310	34	12	2725	959	279	2453	1030	2210	2801	1227	1513	2677	11	20	1843	77	182	15	525	1735	7	3	1	3	3485	10048	1502	3393	0	2966	231	8326	5	16	1814	1	4	882	210	242	559	39	2692	10	2	1290	849	0	1	959	548	0	96	830	810	91	2875	4	4	2166	48	31	1	164	2664	1169	7	4015	330	493	26	472	12	1962	967	66	5934	43	2	5392	15	9	1	89	14	0	17	291	278	544	5	0	1	0	0	1	12	10	1	0	0	0	5	0	0	1	0	0	0	0	1	1	247	313	489	176	199	17	194	0	5	410	5
ZOTU_7	0	1182	3	0	34	5	5	0	4	8	5	8	3578	0	6	1	0	2	12	8	3	8	2	535	606	27	4	0	4193	3487	3384	5342	1	0	2	140	5595	4	0	0	3544	16	1	0	0	0	0	0	1	6	0	1	0	0	1	125	0	2	1	0	0	0	0	0	0	5	3	0	3	1639	0	0	0	3721	28	0	4	0	0	1	0	2	1	0	0	0	0	0	35	8376	399	0	10	3	0	0	2	0	2	8418	221	0	251	0	155	1	4	11389	4	1	4	1325	0	4671	0	10690	2043	6	1231	0	1	22	0	0	0	0	0	0	0	0	0
ZOTU_8	109	3	6	25	85	4832	114	1178	728	1641	42	6	7	14	266	53	3	247	3267	315	453	565	83	413	2	34	0	22	121	2	25	1	0	1	23	1	26	198	3520	66	1	0	8	67	98	5	240	31	1910	4990	655	1416	1440	183	136	8	1	8	2968	3	486	75	1248	1643	1104	8886	666	2431	178	6	15	5	16	10	29	116	310	151	2	68	3442	80	91	91	68	7475	598	131	1	1	4	169	1	14	9	59	12	2	7	2	37	2	11	3	0	33	1	7	18	1	0	2	1	0	13	1	0	3	0	79	0	7	2	0	2	14	3	172	1691	67	1038
ZOTU_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	666	1	0	0	5	0	8092	4	55	9	12	3	501	8132	0	3	11	5	1	0	3557	12	3	3680	0	0	3	12825	2	7357	9	270	1	6033	0	85	3965	0	1	0	5369	5	0	16	1	0	4	92	0	1699	0	0	0	2	109	0	1	0	3	0	0	1	1	1	4	2	6	0	0	2	0	0	2	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	2
ZOTU_10	362	18	225	2068	61	334	4	66	112	8	206	23	725	5393	2988	115	2795	3955	1693	2031	34	17	969	36	11	6	22	268	4	7	1	1	14	43	48	1760	6	237	528	213	2	14	1372	85	8	4966	205	6168	20	126	31	4	3	174	1166	27	7	4399	1606	34	2166	87	1926	9	3911	9	4	3172	6270	22	98	840	64	59	48	87	312	83	330	61	20	149	540	8	107	5	0	87	8	6	12	78	14	17	0	41	9	0	7	4	0	36	2	1	6	8	15	12	0	1	20	2	3	5	0	3	2	0	1	6	404	495	93	7374	42	20	18	1	7	74	4
ZOTU_11	13	0	0	3	0	0	0	0	0	0	0	0	2	1	2	3	696	1	0	0	1	4	0	169	0	10	125	85	4	3	4	0	2	4	34	7591	0	4	1	2	1	342	4813	1	0	1	0	0	1	0	0	0	0	21	139	10	0	135	0	0	2	0	0	2	1	0	0	0	2526	4	3	4995	1879	6	7	1	2	1	5760	11	2	0	1	0	1	0	0	126	6	4	0	0	2927	11	368	36	2776	3704	2382	5	1	457	1731	3270	5880	2351	4	6	3	0	2328	562	0	560	3	2	0	2	2	1	2	0	0	16	0	2	1	0	0	1	1
ZOTU_12	0	0	0	0	0	0	0	6	1	3	0	0	0	0	0	1	0	1	4	5	1984	2771	41	5	10	4	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	500	106	0	0	11	0	0	0	1169	4897	47	20	9	6732	2	1	19	0	10	6	0	44	10933	4044	52	354	2	2360	4	50	1	2763	0	344	466	0	138	0	462	11	0	3	4528	2387	3	1	0	604	0	0	0	0	131	0	0	0	6	177	0	0	0	0	0	1	3	408	19	1	0	263	0	708	1	0	306	0	974	0	1	0	0	0	0	0	3	1	0	4253
